# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.700630000000000791e+03
6.960000000000000000e+05	1.685234074534161891e+03
6.920000000000000000e+05	1.669838149068322764e+03
6.880000000000000000e+05	1.655452447204968621e+03
6.840000000000000000e+05	1.642076968944099235e+03
6.800000000000000000e+05	1.628701490683229849e+03
6.760000000000000000e+05	1.618533142857142821e+03
6.720000000000000000e+05	1.608364795031055792e+03
6.680000000000000000e+05	1.599763068322981326e+03
6.640000000000000000e+05	1.592727962732919195e+03
6.600000000000000000e+05	1.585692857142857065e+03
6.560000000000000000e+05	1.580969354037266839e+03
6.520000000000000000e+05	1.576245850931676841e+03
6.480000000000000000e+05	1.572198447204968716e+03
6.440000000000000000e+05	1.568827142857142917e+03
6.400000000000000000e+05	1.565455838509316891e+03
6.360000000000000000e+05	1.562716236024844875e+03
6.320000000000000000e+05	1.559976633540372632e+03
6.280000000000000000e+05	1.557356062111801293e+03
6.240000000000000000e+05	1.554854521739130405e+03
6.200000000000000000e+05	1.552352981366459744e+03
6.160000000000000000e+05	1.549953602484472185e+03
6.120000000000000000e+05	1.547554223602484626e+03
6.080000000000000000e+05	1.545203875776397581e+03
6.040000000000000000e+05	1.542902559006211277e+03
6.000000000000000000e+05	1.540601242236024746e+03
5.960000000000000000e+05	1.538409118012422368e+03
5.920000000000000000e+05	1.536216993788819991e+03
5.880000000000000000e+05	1.534076347826087158e+03
5.840000000000000000e+05	1.531987180124223642e+03
5.800000000000000000e+05	1.529898012422360125e+03
5.760000000000000000e+05	1.527891751552794858e+03
5.720000000000000000e+05	1.525885490683229818e+03
5.680000000000000000e+05	1.523910993788819951e+03
5.640000000000000000e+05	1.521968260869565256e+03
5.600000000000000000e+05	1.520025527950310561e+03
5.560000000000000000e+05	1.518135043478260968e+03
5.520000000000000000e+05	1.516244559006211148e+03
5.480000000000000000e+05	1.514374062111801322e+03
5.440000000000000000e+05	1.512523552795031037e+03
5.400000000000000000e+05	1.510673043478260752e+03
5.360000000000000000e+05	1.508841937888198800e+03
5.320000000000000000e+05	1.507010832298136847e+03
5.280000000000000000e+05	1.505177428571428663e+03
5.240000000000000000e+05	1.503341726708074702e+03
5.200000000000000000e+05	1.501506024844720514e+03
5.160000000000000000e+05	1.499647341614906736e+03
5.120000000000000000e+05	1.497788658385093186e+03
5.080000000000000000e+05	1.495915341614906765e+03
5.040000000000000000e+05	1.494027391304347930e+03
5.000000000000000000e+05	1.492139440993788867e+03
4.960000000000000000e+05	1.490232236024844724e+03
4.920000000000000000e+05	1.488325031055900581e+03
4.880000000000000000e+05	1.486418335403726587e+03
4.840000000000000000e+05	1.484512149068322969e+03
4.800000000000000000e+05	1.482605962732919352e+03
4.760000000000000000e+05	1.480721788819875883e+03
4.720000000000000000e+05	1.478837614906832187e+03
4.680000000000000000e+05	1.476972024844720409e+03
4.640000000000000000e+05	1.475125018633540321e+03
4.600000000000000000e+05	1.473278012422360234e+03
4.560000000000000000e+05	1.471466161490683135e+03
4.520000000000000000e+05	1.469654310559006035e+03
4.480000000000000000e+05	1.467851192546583661e+03
4.440000000000000000e+05	1.466056807453416013e+03
4.400000000000000000e+05	1.464262422360248365e+03
4.360000000000000000e+05	1.462455515527950183e+03
4.320000000000000000e+05	1.460648608695652001e+03
4.280000000000000000e+05	1.458821515527950169e+03
4.240000000000000000e+05	1.456974236024844686e+03
4.200000000000000000e+05	1.455126956521739203e+03
4.160000000000000000e+05	1.453236596273291980e+03
4.120000000000000000e+05	1.451346236024844757e+03
4.080000000000000000e+05	1.449455689440993865e+03
4.040000000000000000e+05	1.447564956521739077e+03
4.000000000000000000e+05	1.445674223602484290e+03
3.960000000000000000e+05	1.443852037267080505e+03
3.920000000000000000e+05	1.442029850931676947e+03
3.880000000000000000e+05	1.440270459627329046e+03
3.840000000000000000e+05	1.438573863354037258e+03
3.800000000000000000e+05	1.436877267080745241e+03
3.760000000000000000e+05	1.435308596273291869e+03
3.720000000000000000e+05	1.433739925465838496e+03
3.680000000000000000e+05	1.432217937888198776e+03
3.640000000000000000e+05	1.430742633540372708e+03
3.600000000000000000e+05	1.429267329192546640e+03
3.560000000000000000e+05	1.427838161490683206e+03
3.520000000000000000e+05	1.426408993788819771e+03
3.480000000000000000e+05	1.424980385093167797e+03
3.440000000000000000e+05	1.423552335403726829e+03
3.400000000000000000e+05	1.422124285714285861e+03
3.360000000000000000e+05	1.420660857142857139e+03
3.320000000000000000e+05	1.419197428571428645e+03
3.280000000000000000e+05	1.417706037267080774e+03
3.240000000000000000e+05	1.416186683229813525e+03
3.200000000000000000e+05	1.414667329192546504e+03
