# Depth(m)	Temperature(C)
3.600000000000000000e+05	1.380601863354037278e+03
3.560000000000000000e+05	1.378378285714285767e+03
3.520000000000000000e+05	1.376154708074534028e+03
3.480000000000000000e+05	1.374093763975155298e+03
3.440000000000000000e+05	1.372195453416149121e+03
3.400000000000000000e+05	1.370297142857142944e+03
3.360000000000000000e+05	1.368599577639751487e+03
3.320000000000000000e+05	1.366902012422360258e+03
3.280000000000000000e+05	1.365261999999999944e+03
3.240000000000000000e+05	1.363679540372670772e+03
3.200000000000000000e+05	1.362097080745341600e+03
3.160000000000000000e+05	1.360578422360248396e+03
3.120000000000000000e+05	1.359059763975155192e+03
3.080000000000000000e+05	1.357564559006211084e+03
3.040000000000000000e+05	1.356092807453416071e+03
3.000000000000000000e+05	1.354621055900621059e+03
2.960000000000000000e+05	1.353202049689440855e+03
2.920000000000000000e+05	1.351783043478260652e+03
2.880000000000000000e+05	1.350398472049689190e+03
2.840000000000000000e+05	1.349048335403726469e+03
2.800000000000000000e+05	1.347698198757763748e+03
2.760000000000000000e+05	1.346435291925465663e+03
2.720000000000000000e+05	1.345172385093167804e+03
2.680000000000000000e+05	1.343955614906832352e+03
2.640000000000000000e+05	1.342784981366459760e+03
2.600000000000000000e+05	1.341614347826087169e+03
2.560000000000000000e+05	1.340514968944099564e+03
2.520000000000000000e+05	1.339415590062111960e+03
2.480000000000000000e+05	1.338318335403726678e+03
2.440000000000000000e+05	1.337223204968944174e+03
2.400000000000000000e+05	1.336128074534161442e+03
2.360000000000000000e+05	1.334908422360248551e+03
2.320000000000000000e+05	1.333688770186335432e+03
2.280000000000000000e+05	1.332294099378882038e+03
2.240000000000000000e+05	1.330724409937888140e+03
2.200000000000000000e+05	1.329154720496894242e+03
2.160000000000000000e+05	1.326879614906832103e+03
2.120000000000000000e+05	1.324604509316770191e+03
2.080000000000000000e+05	1.321712534161490566e+03
2.040000000000000000e+05	1.318203689440993685e+03
2.000000000000000000e+05	1.314694844720496803e+03
1.960000000000000000e+05	1.309177801242236001e+03
1.920000000000000000e+05	1.303660757763975198e+03
1.880000000000000000e+05	1.296602832298136718e+03
1.840000000000000000e+05	1.288004024844720334e+03
1.800000000000000000e+05	1.279405217391304177e+03
1.760000000000000000e+05	1.266492770186335292e+03
1.720000000000000000e+05	1.253580322981366407e+03
1.680000000000000000e+05	1.238236894409937804e+03
1.640000000000000000e+05	1.220462484472049709e+03
1.600000000000000000e+05	1.202688074534161387e+03
1.560000000000000000e+05	1.180960067080745148e+03
1.520000000000000000e+05	1.159232059627328908e+03
1.480000000000000000e+05	1.136404116770186192e+03
1.440000000000000000e+05	1.112476238509316772e+03
1.400000000000000000e+05	1.088548360248447352e+03
1.360000000000000000e+05	1.063809513043478319e+03
1.320000000000000000e+05	1.039070665838509285e+03
1.280000000000000000e+05	1.014224106832298162e+03
1.240000000000000000e+05	9.892698360248448353e+02
1.200000000000000000e+05	9.643155652173913950e+02
1.160000000000000000e+05	9.392149291925466059e+02
1.120000000000000000e+05	9.141142931677018169e+02
1.080000000000000000e+05	8.889070757763973916e+02
1.040000000000000000e+05	8.635932770186334437e+02
1.000000000000000000e+05	8.382794782608694959e+02
9.600000000000000000e+04	8.127232372670807763e+02
9.200000000000000000e+04	7.871669962732920567e+02
8.800000000000000000e+04	7.613106919254659033e+02
8.400000000000000000e+04	7.351543242236025435e+02
8.000000000000000000e+04	7.089979565217391837e+02
7.600000000000000000e+04	6.798734844720496540e+02
7.200000000000000000e+04	6.507490124223602379e+02
6.800000000000000000e+04	6.167751701863353446e+02
6.400000000000000000e+04	5.779519577639752015e+02
6.000000000000000000e+04	5.391287453416149447e+02
5.600000000000000000e+04	4.805795801242236394e+02
5.200000000000000000e+04	4.220304149068322772e+02
4.800000000000000000e+04	3.518174447204968942e+02
4.400000000000000000e+04	2.699406695652173767e+02
4.000000000000000000e+04	1.880638944099379160e+02
3.600000000000000000e+04	1.128383366459627553e+02
3.200000000000000000e+04	3.761277888198758745e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
