# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.900630000000000791e+03
6.960000000000000000e+05	1.873176335403727307e+03
6.920000000000000000e+05	1.845722670807453596e+03
6.880000000000000000e+05	1.822702708074534257e+03
6.840000000000000000e+05	1.804116447204968836e+03
6.800000000000000000e+05	1.785530186335403641e+03
6.760000000000000000e+05	1.775940397515527820e+03
6.720000000000000000e+05	1.766350608695651999e+03
6.680000000000000000e+05	1.759168993788819762e+03
6.640000000000000000e+05	1.754395552795031108e+03
6.600000000000000000e+05	1.749622111801242454e+03
6.560000000000000000e+05	1.746605714285714384e+03
6.520000000000000000e+05	1.743589316770186315e+03
6.480000000000000000e+05	1.740810124223602543e+03
6.440000000000000000e+05	1.738268136645962841e+03
6.400000000000000000e+05	1.735726149068323139e+03
6.360000000000000000e+05	1.733291093167702002e+03
6.320000000000000000e+05	1.730856037267081092e+03
6.280000000000000000e+05	1.728459577639751842e+03
6.240000000000000000e+05	1.726101714285714479e+03
6.200000000000000000e+05	1.723743850931677116e+03
6.160000000000000000e+05	1.721471428571428532e+03
6.120000000000000000e+05	1.719199006211180176e+03
6.080000000000000000e+05	1.716958124223602454e+03
6.040000000000000000e+05	1.714748782608695819e+03
6.000000000000000000e+05	1.712539440993788958e+03
5.960000000000000000e+05	1.710369801242236008e+03
5.920000000000000000e+05	1.708200161490683286e+03
5.880000000000000000e+05	1.706040322981366444e+03
5.840000000000000000e+05	1.703890285714285710e+03
5.800000000000000000e+05	1.701740248447204976e+03
5.760000000000000000e+05	1.699595279503105530e+03
5.720000000000000000e+05	1.697450310559006084e+03
5.680000000000000000e+05	1.695311329192546509e+03
5.640000000000000000e+05	1.693178335403726805e+03
5.600000000000000000e+05	1.691045341614907102e+03
5.560000000000000000e+05	1.688927826086956657e+03
5.520000000000000000e+05	1.686810310559006211e+03
5.480000000000000000e+05	1.684701453416149207e+03
5.440000000000000000e+05	1.682601254658385187e+03
5.400000000000000000e+05	1.680501055900621395e+03
5.360000000000000000e+05	1.678424161490683446e+03
5.320000000000000000e+05	1.676347267080745496e+03
5.280000000000000000e+05	1.674280807453416401e+03
5.240000000000000000e+05	1.672224782608695705e+03
5.200000000000000000e+05	1.670168757763975009e+03
5.160000000000000000e+05	1.668138621118012225e+03
5.120000000000000000e+05	1.666108484472049440e+03
5.080000000000000000e+05	1.664087366459627219e+03
5.040000000000000000e+05	1.662075267080745562e+03
5.000000000000000000e+05	1.660063167701863676e+03
4.960000000000000000e+05	1.658066198757764141e+03
4.920000000000000000e+05	1.656069229813664833e+03
4.880000000000000000e+05	1.654080683229813758e+03
4.840000000000000000e+05	1.652100559006211370e+03
4.800000000000000000e+05	1.650120434782608754e+03
4.760000000000000000e+05	1.648157055900621117e+03
4.720000000000000000e+05	1.646193677018633480e+03
4.680000000000000000e+05	1.644235316770186273e+03
4.640000000000000000e+05	1.642281975155279497e+03
4.600000000000000000e+05	1.640328633540372493e+03
4.560000000000000000e+05	1.638386695652174012e+03
4.520000000000000000e+05	1.636444757763975304e+03
4.480000000000000000e+05	1.634511714285714561e+03
4.440000000000000000e+05	1.632587565217391329e+03
4.400000000000000000e+05	1.630663416149068325e+03
4.360000000000000000e+05	1.628754745341614807e+03
4.320000000000000000e+05	1.626846074534161289e+03
4.280000000000000000e+05	1.624946732919254600e+03
4.240000000000000000e+05	1.623056720496894286e+03
4.200000000000000000e+05	1.621166708074534199e+03
4.160000000000000000e+05	1.619300372670807519e+03
4.120000000000000000e+05	1.617434037267080839e+03
4.080000000000000000e+05	1.615573217391304524e+03
4.040000000000000000e+05	1.613717913043478347e+03
4.000000000000000000e+05	1.611862608695652170e+03
3.960000000000000000e+05	1.609998559006211053e+03
3.920000000000000000e+05	1.608134509316769936e+03
3.880000000000000000e+05	1.606261006211179847e+03
3.840000000000000000e+05	1.604378049689440786e+03
3.800000000000000000e+05	1.602495093167701725e+03
3.760000000000000000e+05	1.600599614906832358e+03
3.720000000000000000e+05	1.598704136645962762e+03
3.680000000000000000e+05	1.596802285714285745e+03
3.640000000000000000e+05	1.594894062111801304e+03
3.600000000000000000e+05	1.592985838509316636e+03
3.560000000000000000e+05	1.591073788819875745e+03
3.520000000000000000e+05	1.589161739130434853e+03
3.480000000000000000e+05	1.587249701863353948e+03
3.440000000000000000e+05	1.585337677018633485e+03
3.400000000000000000e+05	1.583425652173913022e+03
3.360000000000000000e+05	1.581526521739130430e+03
3.320000000000000000e+05	1.579627391304347839e+03
3.280000000000000000e+05	1.577740745341614911e+03
3.240000000000000000e+05	1.575866583850931647e+03
3.200000000000000000e+05	1.573992422360248383e+03
3.160000000000000000e+05	1.572158683229813732e+03
3.120000000000000000e+05	1.570324944099379081e+03
3.080000000000000000e+05	1.568519254658385307e+03
3.040000000000000000e+05	1.566741614906832410e+03
3.000000000000000000e+05	1.564963975155279513e+03
2.960000000000000000e+05	1.563224844720497003e+03
2.920000000000000000e+05	1.561485714285714266e+03
2.880000000000000000e+05	1.559568285714285821e+03
2.840000000000000000e+05	1.557472559006211213e+03
2.800000000000000000e+05	1.555376832298136605e+03
2.760000000000000000e+05	1.552945701863354088e+03
2.720000000000000000e+05	1.550514571428571571e+03
2.680000000000000000e+05	1.548282757763975269e+03
2.640000000000000000e+05	1.546250260869565409e+03
2.600000000000000000e+05	1.544217763975155322e+03
2.560000000000000000e+05	1.542471105590062052e+03
2.520000000000000000e+05	1.540724447204969010e+03
2.480000000000000000e+05	1.539009689440993725e+03
2.440000000000000000e+05	1.537326832298136651e+03
2.400000000000000000e+05	1.535643975155279350e+03
2.360000000000000000e+05	1.534016397515527842e+03
2.320000000000000000e+05	1.532388819875776562e+03
2.280000000000000000e+05	1.530826049689441106e+03
2.240000000000000000e+05	1.529328086956521929e+03
2.200000000000000000e+05	1.527830124223602525e+03
2.160000000000000000e+05	1.526467341614906900e+03
2.120000000000000000e+05	1.525104559006211275e+03
2.080000000000000000e+05	1.523759639751552868e+03
2.040000000000000000e+05	1.522432583850931678e+03
2.000000000000000000e+05	1.521105527950310488e+03
1.960000000000000000e+05	1.519550894409937882e+03
1.920000000000000000e+05	1.517996260869565276e+03
1.880000000000000000e+05	1.516052956521739134e+03
1.840000000000000000e+05	1.513720981366459682e+03
1.800000000000000000e+05	1.511389006211180231e+03
1.760000000000000000e+05	1.507701055900621213e+03
1.720000000000000000e+05	1.504013105590062196e+03
1.680000000000000000e+05	1.499350397515527902e+03
1.640000000000000000e+05	1.493712931677018332e+03
1.600000000000000000e+05	1.488075465838508990e+03
1.560000000000000000e+05	1.479305999999999813e+03
1.520000000000000000e+05	1.470536534161490636e+03
1.480000000000000000e+05	1.458604832298136671e+03
1.440000000000000000e+05	1.443510894409937919e+03
1.400000000000000000e+05	1.428416956521739166e+03
1.360000000000000000e+05	1.403187416149068440e+03
1.320000000000000000e+05	1.377957875776397486e+03
1.280000000000000000e+05	1.348195093167701998e+03
1.240000000000000000e+05	1.313899068322981520e+03
1.200000000000000000e+05	1.279603043478261043e+03
1.160000000000000000e+05	1.240831515527950387e+03
1.120000000000000000e+05	1.202059987577639731e+03
1.080000000000000000e+05	1.162458504347826192e+03
1.040000000000000000e+05	1.122027065838509316e+03
1.000000000000000000e+05	1.081595627329192666e+03
9.600000000000000000e+04	1.040618872049689571e+03
9.200000000000000000e+04	9.996421167701863624e+02
8.800000000000000000e+04	9.584462807453415962e+02
8.400000000000000000e+04	9.170313639751551591e+02
8.000000000000000000e+04	8.756164472049687220e+02
7.600000000000000000e+04	8.316148670807451708e+02
7.200000000000000000e+04	7.876132869565216197e+02
6.800000000000000000e+04	7.391329155279503311e+02
6.400000000000000000e+04	6.861737527950310778e+02
6.000000000000000000e+04	6.332145900621118244e+02
5.600000000000000000e+04	5.614413577639751338e+02
5.200000000000000000e+04	4.896681254658385569e+02
4.800000000000000000e+04	4.061966993788820446e+02
4.400000000000000000e+04	3.110270795031055968e+02
4.000000000000000000e+04	2.158574596273291775e+02
3.600000000000000000e+04	1.295144757763975178e+02
3.200000000000000000e+04	4.317149192546583691e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
