# Depth(m)	Temperature(C)
4.360000000000000000e+05	1.523703242236025062e+03
4.320000000000000000e+05	1.521884186335403683e+03
4.280000000000000000e+05	1.520102621118012394e+03
4.240000000000000000e+05	1.518358546583850739e+03
4.200000000000000000e+05	1.516614472049689311e+03
4.160000000000000000e+05	1.514932509316770165e+03
4.120000000000000000e+05	1.513250546583850792e+03
4.080000000000000000e+05	1.511586074534161526e+03
4.040000000000000000e+05	1.509939093167701913e+03
4.000000000000000000e+05	1.508292111801242299e+03
3.960000000000000000e+05	1.506637329192546531e+03
3.920000000000000000e+05	1.504982546583850763e+03
3.880000000000000000e+05	1.503289863354037152e+03
3.840000000000000000e+05	1.501559279503105472e+03
3.800000000000000000e+05	1.499828695652174019e+03
3.760000000000000000e+05	1.497946559006211146e+03
3.720000000000000000e+05	1.496064422360248500e+03
3.680000000000000000e+05	1.494078571428571422e+03
3.640000000000000000e+05	1.491989006211180140e+03
3.600000000000000000e+05	1.489899440993788858e+03
3.560000000000000000e+05	1.487632111801242218e+03
3.520000000000000000e+05	1.485364782608695350e+03
3.480000000000000000e+05	1.483074968944099055e+03
3.440000000000000000e+05	1.480762670807453333e+03
3.400000000000000000e+05	1.478450372670807610e+03
3.360000000000000000e+05	1.476219788819875930e+03
3.320000000000000000e+05	1.473989204968944250e+03
3.280000000000000000e+05	1.471818658385093158e+03
3.240000000000000000e+05	1.469708149068323110e+03
3.200000000000000000e+05	1.467597639751552833e+03
3.160000000000000000e+05	1.465611950310558996e+03
3.120000000000000000e+05	1.463626260869565158e+03
3.080000000000000000e+05	1.461705068322981333e+03
3.040000000000000000e+05	1.459848372670807521e+03
3.000000000000000000e+05	1.457991677018633482e+03
2.960000000000000000e+05	1.456263080745341540e+03
2.920000000000000000e+05	1.454534484472049598e+03
2.880000000000000000e+05	1.452859478260869537e+03
2.840000000000000000e+05	1.451238062111801355e+03
2.800000000000000000e+05	1.449616645962733173e+03
2.760000000000000000e+05	1.448075552795031172e+03
2.720000000000000000e+05	1.446534459627329170e+03
2.680000000000000000e+05	1.445032099378881867e+03
2.640000000000000000e+05	1.443568472049689490e+03
2.600000000000000000e+05	1.442104844720496885e+03
2.560000000000000000e+05	1.440736049689440961e+03
2.520000000000000000e+05	1.439367254658385036e+03
2.480000000000000000e+05	1.438050919254658311e+03
2.440000000000000000e+05	1.436787043478260784e+03
2.400000000000000000e+05	1.435523167701863258e+03
2.360000000000000000e+05	1.434363714285714195e+03
2.320000000000000000e+05	1.433204260869565132e+03
2.280000000000000000e+05	1.432094546583850843e+03
2.240000000000000000e+05	1.431034571428571553e+03
2.200000000000000000e+05	1.429974596273292036e+03
2.160000000000000000e+05	1.428995416149068433e+03
2.120000000000000000e+05	1.428016236024845057e+03
2.080000000000000000e+05	1.427039801242236308e+03
2.040000000000000000e+05	1.426066111801242414e+03
2.000000000000000000e+05	1.425092422360248520e+03
1.960000000000000000e+05	1.423949664596273351e+03
1.920000000000000000e+05	1.422806906832297955e+03
1.880000000000000000e+05	1.421418124223602263e+03
1.840000000000000000e+05	1.419783316770186275e+03
1.800000000000000000e+05	1.418148509316770287e+03
1.760000000000000000e+05	1.415339366459627399e+03
1.720000000000000000e+05	1.412530223602484512e+03
1.680000000000000000e+05	1.408461701863354165e+03
1.640000000000000000e+05	1.403133801242236132e+03
