# Depth(m)	Temperature(C)
4.680000000000000000e+05	1.672216360248447245e+03
4.640000000000000000e+05	1.670070695652173981e+03
4.600000000000000000e+05	1.667925031055900945e+03
4.560000000000000000e+05	1.665812459627329417e+03
4.520000000000000000e+05	1.663699888198757890e+03
4.480000000000000000e+05	1.661602111801242245e+03
4.440000000000000000e+05	1.659519130434782483e+03
4.400000000000000000e+05	1.657436149068322720e+03
4.360000000000000000e+05	1.655381068322981264e+03
4.320000000000000000e+05	1.653325987577639580e+03
4.280000000000000000e+05	1.651282074534161438e+03
4.240000000000000000e+05	1.649249329192546384e+03
4.200000000000000000e+05	1.647216583850931556e+03
4.160000000000000000e+05	1.645196683229813516e+03
4.120000000000000000e+05	1.643176782608695476e+03
4.080000000000000000e+05	1.641169105590062145e+03
4.040000000000000000e+05	1.639173652173913069e+03
4.000000000000000000e+05	1.637178198757763994e+03
3.960000000000000000e+05	1.635220236024844780e+03
3.920000000000000000e+05	1.633262273291925567e+03
3.880000000000000000e+05	1.631329565217391291e+03
3.840000000000000000e+05	1.629422111801242181e+03
3.800000000000000000e+05	1.627514658385093071e+03
3.760000000000000000e+05	1.625660993788819724e+03
3.720000000000000000e+05	1.623807329192546376e+03
3.680000000000000000e+05	1.621975329192546496e+03
3.640000000000000000e+05	1.620164993788819629e+03
3.600000000000000000e+05	1.618354658385092989e+03
3.560000000000000000e+05	1.616556919254658169e+03
3.520000000000000000e+05	1.614759180124223576e+03
3.480000000000000000e+05	1.612945453416149121e+03
3.440000000000000000e+05	1.611115739130434804e+03
3.400000000000000000e+05	1.609286024844720714e+03
3.360000000000000000e+05	1.607400509316770240e+03
3.320000000000000000e+05	1.605514993788819766e+03
3.280000000000000000e+05	1.603610459627329192e+03
3.240000000000000000e+05	1.601686906832298064e+03
3.200000000000000000e+05	1.599763354037267163e+03
3.160000000000000000e+05	1.597840124223602515e+03
3.120000000000000000e+05	1.595916894409937868e+03
3.080000000000000000e+05	1.594014919254658253e+03
3.040000000000000000e+05	1.592134198757763897e+03
3.000000000000000000e+05	1.590253478260869542e+03
2.960000000000000000e+05	1.588452832298136627e+03
2.920000000000000000e+05	1.586652186335403712e+03
2.880000000000000000e+05	1.584888111801242076e+03
2.840000000000000000e+05	1.583160608695652172e+03
2.800000000000000000e+05	1.581433105590062041e+03
2.760000000000000000e+05	1.579676956521739157e+03
2.720000000000000000e+05	1.577920807453416046e+03
2.680000000000000000e+05	1.576102012422360076e+03
2.640000000000000000e+05	1.574220571428571247e+03
2.600000000000000000e+05	1.572339130434782419e+03
2.560000000000000000e+05	1.570328795031055961e+03
2.520000000000000000e+05	1.568318459627329275e+03
2.480000000000000000e+05	1.566154149068323250e+03
2.440000000000000000e+05	1.563835863354037429e+03
2.400000000000000000e+05	1.561517577639751607e+03
2.360000000000000000e+05	1.558132881987577775e+03
2.320000000000000000e+05	1.554748186335403716e+03
2.280000000000000000e+05	1.550042857142857201e+03
2.240000000000000000e+05	1.544016894409937777e+03
2.200000000000000000e+05	1.537990931677018580e+03
2.160000000000000000e+05	1.526800447204968805e+03
2.120000000000000000e+05	1.515609962732919257e+03
2.080000000000000000e+05	1.501015453416149057e+03
2.040000000000000000e+05	1.483016919254658433e+03
2.000000000000000000e+05	1.465018385093167808e+03
1.960000000000000000e+05	1.442069416149068502e+03
1.920000000000000000e+05	1.419120447204968968e+03
1.880000000000000000e+05	1.395476931677018683e+03
1.840000000000000000e+05	1.371138869565217419e+03
1.800000000000000000e+05	1.346800807453416155e+03
1.760000000000000000e+05	1.322530198757763856e+03
1.720000000000000000e+05	1.298259590062111783e+03
1.680000000000000000e+05	1.273952409937888206e+03
1.640000000000000000e+05	1.249608658385093122e+03
1.600000000000000000e+05	1.225264906832298038e+03
1.560000000000000000e+05	1.200644807453415979e+03
1.520000000000000000e+05	1.176024708074534146e+03
1.480000000000000000e+05	1.151215267080745207e+03
1.440000000000000000e+05	1.126216484472049615e+03
1.400000000000000000e+05	1.101217701863354023e+03
1.360000000000000000e+05	1.075841006211180002e+03
1.320000000000000000e+05	1.050464310559006208e+03
1.280000000000000000e+05	1.024909503105589920e+03
1.240000000000000000e+05	9.991765838509315927e+02
1.200000000000000000e+05	9.734436645962732655e+02
1.160000000000000000e+05	9.473709142857142069e+02
1.120000000000000000e+05	9.212981639751552621e+02
1.080000000000000000e+05	8.950610720496894146e+02
1.040000000000000000e+05	8.686596385093166646e+02
1.000000000000000000e+05	8.422582049689440282e+02
9.600000000000000000e+04	8.155368509316770087e+02
9.200000000000000000e+04	7.888154968944098755e+02
8.800000000000000000e+04	7.618178956521738883e+02
8.400000000000000000e+04	7.345440472049689333e+02
8.000000000000000000e+04	7.072701987577639784e+02
7.600000000000000000e+04	6.773110881987577159e+02
7.200000000000000000e+04	6.473519776397514534e+02
6.800000000000000000e+04	6.129201888198757615e+02
6.400000000000000000e+04	5.740157217391304130e+02
6.000000000000000000e+04	5.351112546583850644e+02
5.600000000000000000e+04	4.774648273291925307e+02
5.200000000000000000e+04	4.198183999999999401e+02
4.800000000000000000e+04	3.504540062111800580e+02
4.400000000000000000e+04	2.693716459627329414e+02
4.000000000000000000e+04	1.882892857142857395e+02
3.600000000000000000e+04	1.129735714285714323e+02
3.200000000000000000e+04	3.765785714285714647e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
