# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.850630000000000791e+03
6.960000000000000000e+05	1.825423863354037849e+03
6.920000000000000000e+05	1.800217726708074679e+03
6.880000000000000000e+05	1.778711440993788756e+03
6.840000000000000000e+05	1.760905006211180080e+03
6.800000000000000000e+05	1.743098571428571404e+03
6.760000000000000000e+05	1.732964086956521669e+03
6.720000000000000000e+05	1.722829602484471934e+03
6.680000000000000000e+05	1.714840397515527684e+03
6.640000000000000000e+05	1.708996472049689146e+03
6.600000000000000000e+05	1.703152546583850608e+03
6.560000000000000000e+05	1.699248223602484131e+03
6.520000000000000000e+05	1.695343900621117655e+03
6.480000000000000000e+05	1.691926944099378716e+03
6.440000000000000000e+05	1.688997354037267087e+03
6.400000000000000000e+05	1.686067763975155458e+03
6.360000000000000000e+05	1.683681006211180147e+03
6.320000000000000000e+05	1.681294248447205064e+03
6.280000000000000000e+05	1.679062645962732859e+03
6.240000000000000000e+05	1.676986198757763987e+03
6.200000000000000000e+05	1.674909751552794887e+03
6.160000000000000000e+05	1.673005776397515319e+03
6.120000000000000000e+05	1.671101801242235979e+03
6.080000000000000000e+05	1.669235080745341520e+03
6.040000000000000000e+05	1.667405614906832398e+03
6.000000000000000000e+05	1.665576149068323048e+03
5.960000000000000000e+05	1.663751801242236070e+03
5.920000000000000000e+05	1.661927453416149319e+03
5.880000000000000000e+05	1.660086509316770389e+03
5.840000000000000000e+05	1.658228968944099279e+03
5.800000000000000000e+05	1.656371428571428396e+03
5.760000000000000000e+05	1.654466881987577608e+03
5.720000000000000000e+05	1.652562335403726820e+03
5.680000000000000000e+05	1.650635788819875870e+03
5.640000000000000000e+05	1.648687242236024986e+03
5.600000000000000000e+05	1.646738695652173874e+03
5.560000000000000000e+05	1.644765478260869486e+03
5.520000000000000000e+05	1.642792260869565325e+03
5.480000000000000000e+05	1.640819739130434982e+03
5.440000000000000000e+05	1.638847913043478457e+03
5.400000000000000000e+05	1.636876086956521931e+03
5.360000000000000000e+05	1.634929080745341707e+03
5.320000000000000000e+05	1.632982074534161484e+03
5.280000000000000000e+05	1.631055192546583839e+03
5.240000000000000000e+05	1.629148434782608774e+03
5.200000000000000000e+05	1.627241677018633482e+03
5.160000000000000000e+05	1.625381080745341478e+03
5.120000000000000000e+05	1.623520484472049475e+03
5.080000000000000000e+05	1.621673726708074355e+03
5.040000000000000000e+05	1.619840807453416119e+03
5.000000000000000000e+05	1.618007888198757882e+03
4.960000000000000000e+05	1.616179639751552941e+03
4.920000000000000000e+05	1.614351391304347999e+03
4.880000000000000000e+05	1.612510385093167770e+03
4.840000000000000000e+05	1.610656621118012481e+03
4.800000000000000000e+05	1.608802857142857192e+03
4.760000000000000000e+05	1.606897639751553015e+03
4.720000000000000000e+05	1.604992422360248611e+03
4.680000000000000000e+05	1.603057416149068558e+03
4.640000000000000000e+05	1.601092621118012630e+03
4.600000000000000000e+05	1.599127826086956702e+03
4.560000000000000000e+05	1.597106708074534254e+03
4.520000000000000000e+05	1.595085590062112033e+03
4.480000000000000000e+05	1.593043279503105850e+03
4.440000000000000000e+05	1.590979776397515707e+03
4.400000000000000000e+05	1.588916273291925563e+03
4.360000000000000000e+05	1.586831105590062180e+03
4.320000000000000000e+05	1.584745937888198796e+03
4.280000000000000000e+05	1.582667652173912984e+03
4.240000000000000000e+05	1.580596248447204971e+03
4.200000000000000000e+05	1.578524844720496958e+03
4.160000000000000000e+05	1.576503279503105659e+03
4.120000000000000000e+05	1.574481714285714361e+03
4.080000000000000000e+05	1.572500037267080643e+03
4.040000000000000000e+05	1.570558248447204960e+03
4.000000000000000000e+05	1.568616459627329277e+03
3.960000000000000000e+05	1.566756509316770234e+03
3.920000000000000000e+05	1.564896559006211191e+03
3.880000000000000000e+05	1.563064944099378863e+03
3.840000000000000000e+05	1.561261664596273249e+03
3.800000000000000000e+05	1.559458385093167635e+03
3.760000000000000000e+05	1.557677118012422397e+03
3.720000000000000000e+05	1.555895850931676932e+03
3.680000000000000000e+05	1.554101031055900648e+03
3.640000000000000000e+05	1.552292658385093091e+03
3.600000000000000000e+05	1.550484285714285761e+03
3.560000000000000000e+05	1.548643242236024889e+03
3.520000000000000000e+05	1.546802198757764018e+03
3.480000000000000000e+05	1.544961813664596320e+03
3.440000000000000000e+05	1.543122086956521798e+03
3.400000000000000000e+05	1.541282360248447276e+03
3.360000000000000000e+05	1.539482708074534230e+03
3.320000000000000000e+05	1.537683055900621184e+03
3.280000000000000000e+05	1.535872596273291947e+03
3.240000000000000000e+05	1.534051329192546518e+03
3.200000000000000000e+05	1.532230062111801089e+03
3.160000000000000000e+05	1.530149416149068202e+03
3.120000000000000000e+05	1.528068770186335541e+03
3.080000000000000000e+05	1.525848223602484495e+03
3.040000000000000000e+05	1.523487776397515518e+03
3.000000000000000000e+05	1.521127329192546540e+03
2.960000000000000000e+05	1.518901068322981246e+03
2.920000000000000000e+05	1.516674807453415951e+03
2.880000000000000000e+05	1.514552409937888115e+03
2.840000000000000000e+05	1.512533875776397508e+03
2.800000000000000000e+05	1.510515341614906902e+03
2.760000000000000000e+05	1.508557503105590058e+03
2.720000000000000000e+05	1.506599664596273442e+03
2.680000000000000000e+05	1.504696012422360354e+03
2.640000000000000000e+05	1.502846546583850795e+03
2.600000000000000000e+05	1.500997080745341464e+03
2.560000000000000000e+05	1.499308583850931655e+03
2.520000000000000000e+05	1.497620086956521845e+03
2.480000000000000000e+05	1.496019962732919339e+03
2.440000000000000000e+05	1.494508211180124135e+03
2.400000000000000000e+05	1.492996459627329159e+03
2.360000000000000000e+05	1.491651465838509239e+03
2.320000000000000000e+05	1.490306472049689546e+03
2.280000000000000000e+05	1.489012795031055930e+03
2.240000000000000000e+05	1.487770434782608618e+03
2.200000000000000000e+05	1.486528074534161306e+03
2.160000000000000000e+05	1.485292298136645741e+03
2.120000000000000000e+05	1.484056521739130403e+03
2.080000000000000000e+05	1.482801900621117966e+03
2.040000000000000000e+05	1.481528434782608656e+03
2.000000000000000000e+05	1.480254968944099346e+03
1.960000000000000000e+05	1.478868981366459593e+03
1.920000000000000000e+05	1.477482993788819840e+03
1.880000000000000000e+05	1.475910459627329146e+03
1.840000000000000000e+05	1.474151378881987739e+03
1.800000000000000000e+05	1.472392298136646104e+03
1.760000000000000000e+05	1.469788795031055997e+03
1.720000000000000000e+05	1.467185291925465890e+03
1.680000000000000000e+05	1.463666757763975056e+03
1.640000000000000000e+05	1.459233192546583723e+03
1.600000000000000000e+05	1.454799627329192390e+03
1.560000000000000000e+05	1.446148645962732871e+03
1.520000000000000000e+05	1.437497664596273353e+03
1.480000000000000000e+05	1.424910111801242238e+03
1.440000000000000000e+05	1.408385987577639526e+03
1.400000000000000000e+05	1.391861863354037041e+03
1.360000000000000000e+05	1.364904322981366249e+03
1.320000000000000000e+05	1.337946782608695457e+03
1.280000000000000000e+05	1.307067925465838471e+03
1.240000000000000000e+05	1.272267751552795062e+03
1.200000000000000000e+05	1.237467577639751653e+03
1.160000000000000000e+05	1.200138559006211153e+03
1.120000000000000000e+05	1.162809540372670654e+03
1.080000000000000000e+05	1.125143245962732863e+03
1.040000000000000000e+05	1.087139675776397326e+03
1.000000000000000000e+05	1.049136105590062016e+03
9.600000000000000000e+04	1.010631069565217445e+03
9.200000000000000000e+04	9.721260335403728732e+02
8.800000000000000000e+04	9.332785130434783696e+02
8.400000000000000000e+04	8.940885080745341611e+02
8.000000000000000000e+04	8.548985031055899526e+02
7.600000000000000000e+04	8.128948981366459066e+02
7.200000000000000000e+04	7.708912931677018605e+02
6.800000000000000000e+04	7.242949850931677247e+02
6.400000000000000000e+04	6.731059739130434991e+02
6.000000000000000000e+04	6.219169627329192735e+02
5.600000000000000000e+04	5.516773453416149096e+02
5.200000000000000000e+04	4.814377279503105456e+02
4.800000000000000000e+04	3.995155031055900281e+02
4.400000000000000000e+04	3.059106708074534140e+02
4.000000000000000000e+04	2.123058385093167715e+02
3.600000000000000000e+04	1.273835031055900657e+02
3.200000000000000000e+04	4.246116770186335287e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
