# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.790630000000000791e+03
6.960000000000000000e+05	1.769846198757764569e+03
6.920000000000000000e+05	1.749062397515528119e+03
6.880000000000000000e+05	1.730259291925465959e+03
6.840000000000000000e+05	1.713436881987577635e+03
6.800000000000000000e+05	1.696614472049689311e+03
6.760000000000000000e+05	1.685077180124223560e+03
6.720000000000000000e+05	1.673539888198757808e+03
6.680000000000000000e+05	1.664085204968944026e+03
6.640000000000000000e+05	1.656713130434782670e+03
6.600000000000000000e+05	1.649341055900621313e+03
6.560000000000000000e+05	1.644438894409938030e+03
6.520000000000000000e+05	1.639536732919254973e+03
6.480000000000000000e+05	1.635255503105590378e+03
6.440000000000000000e+05	1.631595204968944245e+03
6.400000000000000000e+05	1.627934906832298338e+03
6.360000000000000000e+05	1.624873689440993985e+03
6.320000000000000000e+05	1.621812472049689632e+03
6.280000000000000000e+05	1.618917453416149101e+03
6.240000000000000000e+05	1.616188633540372848e+03
6.200000000000000000e+05	1.613459813664596368e+03
6.160000000000000000e+05	1.610973701863354108e+03
6.120000000000000000e+05	1.608487590062111849e+03
6.080000000000000000e+05	1.606111105590062152e+03
6.040000000000000000e+05	1.603844248447205018e+03
6.000000000000000000e+05	1.601577391304347884e+03
5.960000000000000000e+05	1.599519751552795015e+03
5.920000000000000000e+05	1.597462111801242372e+03
5.880000000000000000e+05	1.595499316770186397e+03
5.840000000000000000e+05	1.593631366459627316e+03
5.800000000000000000e+05	1.591763416149068235e+03
5.760000000000000000e+05	1.590053403726707984e+03
5.720000000000000000e+05	1.588343391304347961e+03
5.680000000000000000e+05	1.586690906832298197e+03
5.640000000000000000e+05	1.585095950310559147e+03
5.600000000000000000e+05	1.583500993788819869e+03
5.560000000000000000e+05	1.581976198757763996e+03
5.520000000000000000e+05	1.580451403726708122e+03
5.480000000000000000e+05	1.578938645962733062e+03
5.440000000000000000e+05	1.577437925465838589e+03
5.400000000000000000e+05	1.575937204968944116e+03
5.360000000000000000e+05	1.574408782608695674e+03
5.320000000000000000e+05	1.572880360248447232e+03
5.280000000000000000e+05	1.571313552795031001e+03
5.240000000000000000e+05	1.569708360248447207e+03
5.200000000000000000e+05	1.568103167701863185e+03
5.160000000000000000e+05	1.566392310559006091e+03
5.120000000000000000e+05	1.564681453416148997e+03
5.080000000000000000e+05	1.562913751552795020e+03
5.040000000000000000e+05	1.561089204968943932e+03
5.000000000000000000e+05	1.559264658385093071e+03
4.960000000000000000e+05	1.557347813664596060e+03
4.920000000000000000e+05	1.555430968944099277e+03
4.880000000000000000e+05	1.553489639751552659e+03
4.840000000000000000e+05	1.551523826086956433e+03
4.800000000000000000e+05	1.549558012422360207e+03
4.760000000000000000e+05	1.547590360248447269e+03
4.720000000000000000e+05	1.545622708074534103e+03
4.680000000000000000e+05	1.543669229813664515e+03
4.640000000000000000e+05	1.541729925465838505e+03
4.600000000000000000e+05	1.539790621118012268e+03
4.560000000000000000e+05	1.537900260869565273e+03
4.520000000000000000e+05	1.536009900621118049e+03
4.480000000000000000e+05	1.534144559006211239e+03
4.440000000000000000e+05	1.532304236024844840e+03
4.400000000000000000e+05	1.530463913043478215e+03
4.360000000000000000e+05	1.528652285714285654e+03
4.320000000000000000e+05	1.526840658385093320e+03
4.280000000000000000e+05	1.525034372670807670e+03
4.240000000000000000e+05	1.523233428571428703e+03
4.200000000000000000e+05	1.521432484472049737e+03
4.160000000000000000e+05	1.519623316770186420e+03
4.120000000000000000e+05	1.517814149068322877e+03
4.080000000000000000e+05	1.515996459627329159e+03
4.040000000000000000e+05	1.514170248447205040e+03
4.000000000000000000e+05	1.512344037267080921e+03
3.960000000000000000e+05	1.510503937888198834e+03
3.920000000000000000e+05	1.508663838509316747e+03
3.880000000000000000e+05	1.506818322981366464e+03
3.840000000000000000e+05	1.504967391304347984e+03
3.800000000000000000e+05	1.503116459627329277e+03
3.760000000000000000e+05	1.501271366459627416e+03
3.720000000000000000e+05	1.499426273291925554e+03
3.680000000000000000e+05	1.497592347826087007e+03
3.640000000000000000e+05	1.495769590062111774e+03
3.600000000000000000e+05	1.493946832298136769e+03
3.560000000000000000e+05	1.492165267080745480e+03
3.520000000000000000e+05	1.490383701863354190e+03
3.480000000000000000e+05	1.488633838509316774e+03
3.440000000000000000e+05	1.486915677018633460e+03
3.400000000000000000e+05	1.485197515527950145e+03
3.360000000000000000e+05	1.483556571428571260e+03
3.320000000000000000e+05	1.481915627329192603e+03
3.280000000000000000e+05	1.480314322981366558e+03
3.240000000000000000e+05	1.478752658385093127e+03
3.200000000000000000e+05	1.477190993788819924e+03
3.160000000000000000e+05	1.475676683229813534e+03
3.120000000000000000e+05	1.474162372670807372e+03
3.080000000000000000e+05	1.472593403726707947e+03
3.040000000000000000e+05	1.470969776397515261e+03
3.000000000000000000e+05	1.469346149068322802e+03
2.960000000000000000e+05	1.467371018633540416e+03
2.920000000000000000e+05	1.465395888198757802e+03
2.880000000000000000e+05	1.463275043478261068e+03
2.840000000000000000e+05	1.461008484472049759e+03
2.800000000000000000e+05	1.458741925465838676e+03
2.760000000000000000e+05	1.456529031055900759e+03
2.720000000000000000e+05	1.454316136645962843e+03
2.680000000000000000e+05	1.452172546583850817e+03
2.640000000000000000e+05	1.450098260869565138e+03
2.600000000000000000e+05	1.448023975155279459e+03
2.560000000000000000e+05	1.445991304347825917e+03
2.520000000000000000e+05	1.443958633540372603e+03
2.480000000000000000e+05	1.441989714285714172e+03
2.440000000000000000e+05	1.440084546583850852e+03
2.400000000000000000e+05	1.438179378881987532e+03
2.360000000000000000e+05	1.436618186335403834e+03
2.320000000000000000e+05	1.435056993788819909e+03
2.280000000000000000e+05	1.433709279503105790e+03
2.240000000000000000e+05	1.432575043478261023e+03
2.200000000000000000e+05	1.431440807453416255e+03
2.160000000000000000e+05	1.430586422360248434e+03
2.120000000000000000e+05	1.429732037267080841e+03
2.080000000000000000e+05	1.428888981366459575e+03
2.040000000000000000e+05	1.428057254658385091e+03
2.000000000000000000e+05	1.427225527950310607e+03
1.960000000000000000e+05	1.426309329192546556e+03
