# lon lat thick
9.456300000000000239e+01 -4.864800000000000324e+01 1.890000000000000000e+02
9.730200000000000671e+01 -4.878699999999999903e+01 1.640000000000000000e+02
1.000520000000000067e+02 -4.888700000000000045e+01 1.300000000000000000e+02
1.028089999999999975e+02 -4.894899999999999807e+01 1.030000000000000000e+02
1.055690000000000026e+02 -4.897099999999999653e+01 9.400000000000000000e+01
1.083299999999999983e+02 -4.895400000000000063e+01 9.400000000000000000e+01
6.189500000000000313e+01 -4.180100000000000193e+01 1.560000000000000000e+02
6.426099999999999568e+01 -4.235199999999999676e+01 1.760000000000000000e+02
6.665900000000000603e+01 -4.287800000000000011e+01 1.890000000000000000e+02
6.908700000000000330e+01 -4.337700000000000244e+01 1.990000000000000000e+02
7.154500000000000171e+01 -4.384799999999999898e+01 2.010000000000000000e+02
7.403300000000000125e+01 -4.428999999999999915e+01 2.000000000000000000e+02
7.654800000000000182e+01 -4.470199999999999818e+01 1.980000000000000000e+02
7.909099999999999397e+01 -4.508299999999999841e+01 2.130000000000000000e+02
8.165900000000000603e+01 -4.543200000000000216e+01 2.330000000000000000e+02
8.425100000000000477e+01 -4.574699999999999989e+01 2.400000000000000000e+02
8.686499999999999488e+01 -4.602700000000000102e+01 2.270000000000000000e+02
8.949899999999999523e+01 -4.627300000000000324e+01 2.130000000000000000e+02
9.215000000000000568e+01 -4.648199999999999932e+01 2.080000000000000000e+02
9.481600000000000250e+01 -4.665500000000000114e+01 1.900000000000000000e+02
9.749500000000000455e+01 -4.679099999999999682e+01 1.570000000000000000e+02
1.001820000000000022e+02 -4.688900000000000290e+01 1.110000000000000000e+02
1.028760000000000048e+02 -4.694899999999999807e+01 9.400000000000000000e+01
1.055739999999999981e+02 -4.697099999999999653e+01 9.400000000000000000e+01
1.082710000000000008e+02 -4.695499999999999829e+01 9.400000000000000000e+01
6.269200000000000017e+01 -3.989399999999999835e+01 1.350000000000000000e+02
6.503000000000000114e+01 -4.043699999999999761e+01 1.530000000000000000e+02
6.739600000000000080e+01 -4.095400000000000063e+01 1.690000000000000000e+02
6.979000000000000625e+01 -4.144500000000000028e+01 1.760000000000000000e+02
7.221200000000000330e+01 -4.190899999999999892e+01 1.830000000000000000e+02
7.466100000000000136e+01 -4.234300000000000352e+01 1.920000000000000000e+02
7.713500000000000512e+01 -4.274799999999999756e+01 1.990000000000000000e+02
7.963400000000000034e+01 -4.312199999999999989e+01 2.180000000000000000e+02
8.215600000000000591e+01 -4.346300000000000097e+01 2.410000000000000000e+02
8.469899999999999807e+01 -4.377199999999999847e+01 2.410000000000000000e+02
8.726300000000000523e+01 -4.404699999999999704e+01 2.210000000000000000e+02
8.984399999999999409e+01 -4.428799999999999670e+01 2.140000000000000000e+02
9.244100000000000250e+01 -4.449300000000000210e+01 2.020000000000000000e+02
9.505200000000000671e+01 -4.466199999999999903e+01 1.870000000000000000e+02
9.767400000000000659e+01 -4.479500000000000171e+01 1.500000000000000000e+02
1.003040000000000020e+02 -4.489099999999999824e+01 1.040000000000000000e+02
1.029389999999999930e+02 -4.495000000000000284e+01 9.400000000000000000e+01
6.575600000000000023e+01 -3.851700000000000301e+01 1.430000000000000000e+02
6.809099999999999397e+01 -3.902700000000000102e+01 1.570000000000000000e+02
7.045300000000000296e+01 -3.950999999999999801e+01 1.630000000000000000e+02
7.284000000000000341e+01 -3.996600000000000108e+01 1.780000000000000000e+02
7.525100000000000477e+01 -4.039300000000000068e+01 2.010000000000000000e+02
7.768600000000000705e+01 -4.078999999999999915e+01 2.210000000000000000e+02
8.014300000000000068e+01 -4.115699999999999648e+01 2.390000000000000000e+02
8.262099999999999511e+01 -4.149300000000000210e+01 2.510000000000000000e+02
8.511899999999999977e+01 -4.179599999999999937e+01 2.370000000000000000e+02
8.763500000000000512e+01 -4.206600000000000250e+01 2.180000000000000000e+02
9.016700000000000159e+01 -4.230199999999999960e+01 2.090000000000000000e+02
9.271399999999999864e+01 -4.250300000000000011e+01 1.920000000000000000e+02
9.527200000000000557e+01 -4.266799999999999926e+01 1.840000000000000000e+02
9.784099999999999397e+01 -4.279899999999999949e+01 1.310000000000000000e+02
1.004170000000000016e+02 -4.289200000000000301e+01 9.400000000000000000e+01
1.029980000000000047e+02 -4.295000000000000284e+01 9.400000000000000000e+01
6.875000000000000000e+01 -3.709499999999999886e+01 1.430000000000000000e+02
7.107999999999999829e+01 -3.757099999999999795e+01 1.350000000000000000e+02
7.343300000000000693e+01 -3.801899999999999835e+01 1.380000000000000000e+02
7.580800000000000693e+01 -3.843999999999999773e+01 1.810000000000000000e+02
7.820499999999999829e+01 -3.883100000000000307e+01 2.260000000000000000e+02
8.062199999999999989e+01 -3.919100000000000250e+01 2.260000000000000000e+02
8.305899999999999750e+01 -3.952100000000000080e+01 2.180000000000000000e+02
8.551300000000000523e+01 -3.981799999999999784e+01 2.170000000000000000e+02
8.798399999999999466e+01 -4.008299999999999841e+01 2.140000000000000000e+02
9.046999999999999886e+01 -4.031499999999999773e+01 1.920000000000000000e+02
9.296899999999999409e+01 -4.051200000000000045e+01 1.670000000000000000e+02
9.547799999999999443e+01 -4.067399999999999949e+01 1.610000000000000000e+02
9.799699999999999989e+01 -4.080199999999999960e+01 1.090000000000000000e+02
1.005229999999999961e+02 -4.089399999999999835e+01 9.400000000000000000e+01
7.167400000000000659e+01 -3.562899999999999778e+01 1.090000000000000000e+02
7.399500000000000455e+01 -3.607000000000000028e+01 1.100000000000000000e+02
7.633599999999999852e+01 -3.648400000000000176e+01 1.380000000000000000e+02
7.869599999999999795e+01 -3.686899999999999977e+01 1.800000000000000000e+02
8.107500000000000284e+01 -3.722299999999999898e+01 1.870000000000000000e+02
8.347199999999999420e+01 -3.754699999999999704e+01 1.900000000000000000e+02
8.588599999999999568e+01 -3.784000000000000341e+01 2.080000000000000000e+02
8.831399999999999295e+01 -3.810000000000000142e+01 2.110000000000000000e+02
9.075600000000000023e+01 -3.832699999999999818e+01 1.870000000000000000e+02
9.320900000000000318e+01 -3.852000000000000313e+01 1.670000000000000000e+02
9.567300000000000182e+01 -3.867999999999999972e+01 1.480000000000000000e+02
9.814499999999999602e+01 -3.880499999999999972e+01 1.050000000000000000e+02
1.006230000000000047e+02 -3.889600000000000080e+01 9.400000000000000000e+01
7.453000000000000114e+01 -3.411899999999999977e+01 1.060000000000000000e+02
7.683700000000000330e+01 -3.452600000000000335e+01 1.330000000000000000e+02
7.916299999999999670e+01 -3.490500000000000114e+01 1.520000000000000000e+02
8.150600000000000023e+01 -3.525399999999999778e+01 1.600000000000000000e+02
8.386499999999999488e+01 -3.557200000000000273e+01 1.690000000000000000e+02
8.623900000000000432e+01 -3.585999999999999943e+01 1.800000000000000000e+02
8.862600000000000477e+01 -3.611500000000000199e+01 1.910000000000000000e+02
9.102599999999999625e+01 -3.633800000000000097e+01 1.860000000000000000e+02
9.343699999999999761e+01 -3.652900000000000347e+01 1.620000000000000000e+02
9.585699999999999932e+01 -3.668500000000000227e+01 1.130000000000000000e+02
