#Time Tp
0.000 1350.000
0.078 1352.226
0.178 1354.795
0.256 1356.507
0.365 1358.219
0.434 1359.075
0.547 1360.360
0.625 1360.360
0.725 1360.360
0.803 1360.360
0.908 1359.932
0.981 1359.503
1.094 1357.363
1.160 1356.507
1.272 1354.795
1.358 1352.654
1.459 1349.658
1.525 1347.089
1.637 1342.808
1.699 1340.240
1.800 1335.103
1.862 1331.678
1.955 1325.685
2.017 1321.832
2.118 1314.555
2.172 1310.274
2.281 1300.000
