#Time Tp
0.454 1443.408
0.795 1448.545
0.795 1472.517
0.795 1487.500
1.296 1514.469
1.761 1509.760
1.870 1526.027
1.878 1531.164
1.870 1547.432
1.866 1558.990
1.862 1566.695
1.866 1603.510
2.052 1532.449
2.491 1538.442
2.494 1609.503
2.545 1641.182
2.793 1601.798
2.793 1591.096
2.696 1563.271
2.696 1557.277
2.972 1508.904
3.069 1532.021
3.072 1559.846
3.247 1624.914
3.332 1619.777
3.445 1549.572
3.515 1472.517
